time,heart
0.005,3220
0.01,319
0.015,324
0.02,317
0.025,304
0.03,308
0.035,308
0.04,298
0.045,290
0.05,296
0.055,296
0.06,290
0.065,289
0.07,302
0.075,300
0.08,290
0.085,292
0.09,299
0.095,299
0.1,294
0.105,299
0.11,304380
0.115,379
0.12,372
0.125,378
0.13,383
0.135,374
0.14,369
0.145,377
0.15,379
0.155,359
0.16,355
0.165,367
0.17,361
0.175,342
0.18,338
0.185,345
0.19,335
0.195,321
0.2,323
0.205,326
0.21,319
0.215,312
0.22,327
0.225,337
0.23,323
0.235,322
0.24,340
0.245,351
0.25,339
0.255,338
0.26,348
0.265,346
0.27,334
0.275,336
0.28,344
0.285,337
0.29,323
0.295,332
0.3,341
0.305,330
0.31,322
0.315,336
0.32,349
0.325,337
0.33,335
0.335,350
0.34,356
0.345,350
0.35,356
0.355,372
0.36,371
0.365,354
0.37,357
0.375,366
0.38,354
0.385,339
0.39,348
0.395,351
0.4,337
0.405,326
0.41,334
0.415,334
0.42,315
0.425,309
0.43,319
0.435,317
0.44,300
0.445,302
0.45,314
0.455,308
0.46,296
0.465,299
0.47,309
0.475,299
0.48,287
0.485,301
0.49,306
0.495,293
0.5,292
0.505,307
0.51,314
0.515,309
0.52,319
0.525,344
0.53,355
0.535,358
0.54,383
0.545,416
0.55,429
0.555,433
0.56,468
0.565,500
0.57,495
0.575,482
0.58,489
0.585,493
0.59,474
0.595,463
0.6,465
0.605,453
0.61,424
0.615,412
0.62,417
0.625,406
0.63,386
0.635,389
0.64,397
0.645,382
0.65,368
0.655,379
0.66,386
0.665,370
0.67,362
0.675,379
0.68,387
0.685,373
0.69,369
0.695,384
0.7,383
0.705,362
0.71,365
0.715,383
0.72,373
0.725,350
0.73,353
0.735,364
0.74,348
0.745,331
0.75,341
0.755,349
0.76,333
0.765,320
0.77,334
0.775,337
0.78,320
0.785,316
0.79,339
0.795,347
0.8,339
0.805,356
0.81,381
0.815,374
0.82,351
0.825,357
0.83,365
0.835,344
0.84,325
0.845,337
0.85,340
0.855,319
0.86,308
0.865,322
0.87,321
0.875,301
0.88,302
0.885,322
0.89,320
0.895,304
0.9,314
0.905,334
0.91,328
0.915,319
0.92,336
0.925,353
0.93,337
0.935,313
0.94,306
0.945,301
0.95,289
0.955,318
0.96,418
0.965,539
0.97,547
0.975,493
0.98,436
0.985,391
0.99,370
0.995,355
1,351
1.005,327
1.01,315
1.015,325
1.02,334
1.025,320
1.03,313
1.035,332
1.04,340
1.045,321
1.05,320
1.055,341
1.06,343
1.065,326
1.07,336
1.075,358
1.08,358
1.085,346
1.09,365
1.095,384
1.1,374
1.105,368
1.11,389
1.115,400
1.12,386
1.125,383
1.13,406
1.135,414
1.14,400
1.145,406
1.15,428
1.155,423
1.16,402
1.165,405
1.17,416
1.175,398
1.18,378
1.185,391
1.19,402
1.195,382
1.2,371
1.205,388
1.21,394
1.215,382
1.22,383
1.225,405
1.23,409
1.235,389
1.24,387
1.245,398
1.25,383
1.255,356
1.26,361
1.265,372
1.27,345
1.275,318
1.28,325
1.285,339
1.29,316
1.295,292
1.3,300
1.305,297
1.31,271
1.315,263
1.32,274
1.325,271
1.33,257
1.335,267
1.34,289
1.345,279
1.35,262
1.355,275
1.36,294
1.365,279
1.37,262
1.375,273
1.38,276
1.385,250
1.39,238
1.395,255
1.4,256
1.405,231
1.41,234
1.415,258
1.42,255
1.425,239
1.43,255
1.435,281
1.44,281
1.445,276
1.45,303
1.455,331
1.46,330
1.465,329
1.47,353
1.475,368
1.48,353
1.485,354
1.49,375
1.495,377
1.5,357
1.505,360
1.51,379
1.515,367
1.52,346
1.525,350
1.53,359
1.535,341
1.54,321
1.545,329
1.55,336
1.555,313
1.56,301
1.565,313
1.57,312
1.575,287
1.58,279
1.585,295
1.59,291
1.595,271
1.6,274
1.605,292
1.61,280
1.615,262
1.62,270
1.625,283
1.63,263
1.635,246
1.64,255
1.645,258
1.65,231
1.655,217
1.66,227
1.665,221
1.67,196
1.675,185
1.68,196
1.685,187
1.69,166
1.695,172
1.7,198
1.705,198
1.71,194
1.715,221
1.72,247
1.725,241
1.73,234
1.735,252
1.74,261
1.745,240
1.75,239
1.755,262
1.76,269
1.765,260
1.77,265
1.775,277
1.78,259
1.785,229
1.79,227
1.795,225
1.8,196
1.805,160
1.81,151
1.815,136
1.82,90
1.825,52
1.83,37
1.835,21
1.84,0
1.845,0
1.85,13
1.855,36
1.86,35
1.865,44
1.87,68
1.875,72
1.88,61
1.885,71
1.89,98
1.895,105
1.9,103
1.905,128
1.91,154
1.915,157
1.92,170
1.925,218
1.93,261
1.935,280
1.94,305
1.945,346
1.95,349
1.955,327
1.96,340
1.965,373
1.97,410
1.975,500
1.98,649
1.985,669
1.99,645
1.995,555
2,512
2.005,489
2.01,429
2.015,393
2.02,403
2.025,412
2.03,391
2.035,385
2.04,399
2.045,402
2.05,395
2.055,408
2.06,424
2.065,423
2.07,418
2.075,424
2.08,436
2.085,432
2.09,428
2.095,441
2.1,456
2.105,444
2.11,442
2.115,467
2.12,482
2.125,471
2.13,476
2.135,501
2.14,509
2.145,509
2.15,523
2.155,547
2.16,547
2.165,547
2.17,566
2.175,579
2.18,575
2.185,576
2.19,595
2.195,611
2.2,602
2.205,594
2.21,607
2.215,611
2.22,593
2.225,588
2.23,592
2.235,573
2.24,547
2.245,543
2.25,539
2.255,514
2.26,481
2.265,475
2.27,474
2.275,456
2.28,443
2.285,454
2.29,465
2.295,453
2.3,449
2.305,465
2.31,466
2.315,457
2.32,463
2.325,473
2.33,471
2.335,460
2.34,467
2.345,473
2.35,460
2.355,447
2.36,451
2.365,450
2.37,435
2.375,426
2.38,435
2.385,435
2.39,418
2.395,422
2.4,444
2.405,455
2.41,446
2.415,456
2.42,478
2.425,480
2.43,483
2.435,509
2.44,530
2.445,528
2.45,523
2.455,528
2.46,528
2.465,514
2.47,502
2.475,498
2.48,481
2.485,452
2.49,429
2.495,416
2.5,396
2.505,373
2.51,371
2.515,379
2.52,372
2.525,358
2.53,355
2.535,343
2.54,314
2.545,282
2.55,264
2.555,236
2.56,200
2.565,186
2.57,186
2.575,182
2.58,177
2.585,189
2.59,213
2.595,222
2.6,224
2.605,248
2.61,273
2.615,273
2.62,269
2.625,272
2.63,270
2.635,256
2.64,252
2.645,265
2.65,269
2.655,253
2.66,245
2.665,247
2.67,238
2.675,219
2.68,213
2.685,215
2.69,200
2.695,183
2.7,184
2.705,192
2.71,182
2.715,175
2.72,180
2.725,186
2.73,181
2.735,182
2.74,184
2.745,172
2.75,144
2.755,129
2.76,129
2.765,114
2.77,93
2.775,96
2.78,108
2.785,100
2.79,98
2.795,118
2.8,134
2.805,136
2.81,133
2.815,144
2.82,155
2.825,148
2.83,149
2.835,162
2.84,165
2.845,159
2.85,168
2.855,193
2.86,203
2.865,212
2.87,237
2.875,268
2.88,287
2.885,299
2.89,324
2.895,346
2.9,349
2.905,354
2.91,379
2.915,390
2.92,384
2.925,388
2.93,398
2.935,396
2.94,385
2.945,384
2.95,388
2.955,378
2.96,363
2.965,369
2.97,381
2.975,374
2.98,361
2.985,366
2.99,375
2.995,374
3,377
3.005,394
3.01,407
3.015,415
3.02,434
3.025,464
3.03,476
3.035,465
3.04,472
3.045,483
3.05,470
3.055,448
3.06,448
3.065,448
3.07,424
3.075,406
3.08,408
3.085,404
3.09,386
3.095,371
3.1,367
3.105,333
3.11,282
3.115,268
3.12,286
3.125,305
3.13,384
3.135,492
3.14,505
3.145,426
3.15,355
3.155,354
3.16,344
3.165,309
3.17,287
3.175,296
3.18,300
3.185,286
3.19,290
3.195,316
3.2,323
3.205,317
3.21,332
3.215,359
3.22,363
3.225,367
3.23,387
3.235,409
3.24,412
3.245,413
3.25,436
3.255,452
3.26,442
3.265,439
3.27,459
3.275,462
3.28,444
3.285,441
3.29,453
3.295,444
3.3,423
3.305,424
3.31,434
3.315,424
3.32,417
3.325,436
3.33,451
3.335,440
3.34,439
3.345,460
3.35,473
3.355,466
3.36,473
3.365,502
3.37,514
3.375,501
3.38,511
3.385,535
3.39,538
3.395,530
3.4,542
3.405,559
3.41,545
3.415,533
3.42,536
3.425,533
3.43,508
3.435,489
3.44,496
3.445,496
3.45,473
3.455,461
3.46,471
3.465,470
3.47,455
3.475,452
3.48,461
3.485,448
3.49,429
3.495,430
3.5,434
3.505,416
3.51,400
3.515,409
3.52,411
3.525,388
3.53,376
3.535,383
3.54,376
3.545,351
3.55,343
3.555,351
3.56,338
3.565,314
3.57,319
3.575,335
3.58,324
3.585,309
3.59,318
3.595,324
3.6,309
3.605,295
3.61,308
3.615,310
3.62,292
3.625,288
3.63,308
3.635,310
3.64,293
3.645,299
3.65,321
3.655,319
3.66,309
3.665,321
3.67,341
3.675,333
3.68,323
3.685,335
3.69,345
3.695,332
3.7,330
3.705,347
3.71,349
3.715,333
3.72,337
3.725,357
3.73,356
3.735,341
3.74,351
3.745,376
3.75,379
3.755,372
3.76,381
3.765,395
3.77,384
3.775,370
3.78,381
3.785,388
3.79,365
3.795,353
3.8,371
3.805,366
3.81,341
3.815,342
3.82,364
3.825,358
3.83,337
3.835,343
3.84,356
3.845,335
3.85,314
3.855,320
3.86,322
3.865,291
3.87,266
3.875,275
3.88,276
3.885,256
3.89,252
3.895,267
3.9,262
3.905,235
3.91,233
3.915,250
3.92,244
3.925,230
3.93,245
3.935,268
3.94,269
3.945,268
3.95,291
3.955,301
3.96,276
3.965,266
3.97,291
3.975,303
3.98,294
3.985,306
3.99,348
3.995,361
4,347
4.005,357
4.01,371
4.015,353
4.02,333
4.025,339
4.03,348
4.035,326
4.04,308
4.045,318
4.05,320
4.055,301
4.06,298
4.065,321
4.07,327
4.075,304
4.08,301
4.085,315
4.09,303
4.095,275
4.1,276
